horas_estudio_semanal;nota_anterior;tasa_asistencia;horas_sueno;edad;nivel_dificultad;tiene_tutor;nota_final;aprobado;horario_desconocido;horario_mañana;horario_noche;horario_tarde;estilo_auditivo;estilo_desconocido;estilo_kinestésico;estilo_lectura/escritura;estilo_visual
0.33166666666666667;0.26899999999999996;0.833;0.44666666666666666;0.6363636363636365;0.0;1.0;84.4;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
0.4183333333333333;0.726142857142857;0.7931250000000001;0.10333333333333339;0.0;1.0;0.0;72.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0
0.14625;0.8625714285714285;0.6827500000000001;0.6266666666666666;0.6363636363636365;0.0;0.0;80.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
0.2354166666666667;0.7411428571428571;0.785625;0.765;0.45454545454545436;0.0;0.0;78.2;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
0.0;0.5178571428571428;0.4317500000000001;0.44499999999999995;0.2727272727272727;0.5;0.0;66.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
0.22541666666666668;0.6155714285714287;0.7473750000000001;0.7516666666666666;0.9999999999999998;1.0;0.0;68.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
0.5175;0.8724285714285713;0.6475;0.09833333333333327;0.6363636363636365;0.0;1.0;75.5;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
0.6349999999999999;0.9568571428571429;0.392625;0.5416666666666666;0.18181818181818188;0.0;1.0;86.3;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
0.13833333333333334;0.4585714285714286;0.5102500000000001;0.41000000000000003;0.2727272727272727;0.5;0.0;84.8;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
0.28874999999999995;0.5975714285714284;1.0;0.5866666666666666;0.45454545454545436;0.5;1.0;68.8;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
0.4829166666666666;0.4511428571428571;0.5587500000000001;0.31499999999999995;0.909090909090909;0.5;1.0;67.9;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
0.3170833333333333;0.37785714285714295;0.5501250000000001;0.6466666666666666;0.5454545454545452;1.0;1.0;54.9;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
0.5045833333333333;0.8241428571428571;0.4736250000000001;0.3650000000000001;0.2727272727272727;1.0;0.0;82.4;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
0.05125;0.2842857142857143;0.71175;0.5449999999999998;0.2727272727272727;0.5;0.0;59.4;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
0.2854166666666666;0.24542857142857138;0.6153750000000001;0.125;0.5454545454545452;0.5;0.0;63.4;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
0.12166666666666667;0.36200000000000004;0.48525000000000007;0.43000000000000005;0.45454545454545436;0.5;0.0;73.2;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
0.21;0.6835714285714285;0.9713750000000001;0.3566666666666666;0.909090909090909;0.0;0.0;86.9;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
0.4645833333333333;0.7609999999999999;0.759625;0.29666666666666675;0.6363636363636365;1.0;1.0;77.8;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
0.39416666666666667;0.6014285714285712;0.46725000000000005;0.30666666666666664;0.0;0.5;0.0;73.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0
0.5704166666666667;0.8037142857142858;0.921;0.4983333333333334;0.8181818181818181;0.0;0.0;84.5;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
0.53875;0.9081428571428569;0.7695000000000001;0.7016666666666668;0.909090909090909;0.5;1.0;90.7;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
0.3662499999999999;0.5034285714285713;0.6015000000000001;0.026666666666666727;0.5454545454545452;0.0;0.0;63.9;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
0.8270833333333334;0.5431428571428571;1.0;0.5933333333333332;0.9999999999999998;0.5;1.0;83.9;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
0.5466666666666666;0.3645714285714286;0.47725000000000006;0.5316666666666666;0.5454545454545452;0.5;1.0;66.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
0.05291666666666666;0.6538571428571427;0.825625;0.5833333333333334;0.909090909090909;0.5;0.0;56.4;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
0.00041666666666666935;0.14785714285714285;0.31862500000000005;0.6233333333333334;0.5454545454545452;1.0;0.0;54.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0
0.6675;0.7267142857142856;0.687875;0.62;0.5454545454545452;0.0;1.0;91.6;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
0.08374999999999999;0.14399999999999996;0.46262500000000006;0.5933333333333332;0.8181818181818181;0.5;0.0;66.9;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
0.5295833333333334;0.5257142857142856;0.305125;0.265;0.8181818181818181;0.5;1.0;75.2;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
0.36166666666666664;0.3409999999999999;0.4025000000000001;0.8083333333333332;0.6363636363636365;0.5;1.0;67.4;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
0.4395833333333333;0.510142857142857;0.5095000000000001;0.41666666666666663;0.7272727272727273;0.5;1.0;73.7;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
0.48125;0.9177142857142855;0.7525000000000002;0.08166666666666667;0.7272727272727273;0.5;1.0;70.5;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
0.4833333333333332;0.9009999999999998;1.0;0.31999999999999995;0.09090909090909083;0.5;1.0;74.7;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
0.11416666666666667;0.5555714285714286;0.9690000000000001;0.20833333333333337;0.5454545454545452;0.0;0.0;72.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0
0.5358333333333333;0.6642857142857141;0.84125;0.7499999999999999;0.5454545454545452;1.0;1.0;77.7;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
0.31916666666666665;0.5657142857142856;0.8863749999999999;0.3633333333333332;0.2727272727272727;0.5;0.0;64.9;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
0.34124999999999994;0.3637142857142857;0.441125;0.57;0.7272727272727273;0.5;0.0;66.4;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
0.09958333333333333;0.5447142857142857;0.48950000000000005;0.45000000000000007;0.6363636363636365;0.0;0.0;66.5;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
0.3858333333333333;0.8375714285714284;0.6897500000000001;0.32333333333333336;0.9999999999999998;0.0;1.0;97.5;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0
0.18541666666666667;0.46114285714285713;0.675875;0.6750000000000002;0.0;0.5;0.0;76.2;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
0.22458333333333333;0.3448571428571429;0.876125;0.29333333333333333;0.09090909090909083;1.0;0.0;73.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0
0.8216666666666667;0.7689999999999999;0.9823750000000002;0.39;0.09090909090909083;0.5;1.0;71.5;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0
0.27499999999999997;0.4132857142857143;0.783625;0.16333333333333344;0.9999999999999998;1.0;1.0;64.8;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
0.21625000000000003;0.5022857142857142;0.53225;0.6383333333333333;0.9999999999999998;0.5;0.0;64.9;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0
0.0;0.3745714285714285;0.47550000000000003;0.7883333333333334;0.909090909090909;0.5;0.0;59.3;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0
